name,type,yieldPct,colorEbc,amountKg,when
Swaen Pilsner,Grão,80,1.2,0.542,Fervura
BEST Munich,Grão,75,8.9,0.479,Fervura
Aveia em flocos,Grão,80,0,0.128,Fervura
"Candi Sugar, Dark",Açúcar,78.3,371,0.082,Fervura
BEST Chocolate,Grão,75,617.3,0.056,Fervura
Chateau Special B,Grão,77,205,0.04,Fervura
Melanoidin,Grão,80.07,39.1,0.032,Fervura
Caramunich III,Grão,80.07,94.6,0.02,Fervura
Chateau Biscuit,Grão,77,32.9,0.017,Fervura
BlackSwan Roasted Barley,Grão,73.1,823.6,0.016,Fervura
