name,type,yieldPct,colorEbc,amountKg,when
Malte Pale Ale,Grão,82.23,6,4.6,Fervura
Malte Munique,Grão,75,22.5,0.6501,Fervura
"Wheat Malt, Pale",Grão,78,3.7,0.6501,Fervura
