name,alphaAcidPct,amountG,use,timeMin,temperatureC
Columbus/Tomahawk/Zeus (CTZ),15.5,20,Fervura,60,0
Centennial,10,20,Hopstand,10,0
Citra,12,20,Hopstand,10,0
Idaho #7,13,20,Hopstand,10,0
Mosaic,12.25,20,Hopstand,10,0
Centennial,10,30,Dry hop,3,0
Citra,12,30,Dry hop,3,0
Idaho #7,13,30,Dry hop,3,0
Mosaic,12.25,30,Dry hop,3,0
