name,type,yieldPct,colorEbc,amountKg,when
Pilsner,Grão,82.23,0.9,0.809,Fervura
Melanoidin,Grão,80.07,39.1,0.072,Fervura
BEST Chocolate,Grão,75,617.3,0.045,Fervura
Caramunich III,Grão,80.07,94.6,0.045,Fervura
