name,alphaAcidPct,amountG,use,timeMin,temperatureC
Spalter,4.5,3.6,First wort,30,90
Tettnang,4.5,3.6,First wort,30,90
Spalter,4.5,4.6,Fervura,10,90
Tettnang,4.5,4.6,Fervura,10,90
