name,type,yieldPct,colorEbc,amountKg,when
Malte Pale Ale,Grão,82.23,2.5,0.88,Fervura
Malte Munique,Grão,75,14,0.124,Fervura
"Wheat Malt, Pale",Grão,78,1.2,0.124,Fervura
