name,alphaAcidPct,amountG,use,timeMin,temperatureC
Columbus/Tomahawk/Zeus (CTZ),15.5,4.2,Fervura,60,90
Centennial,10,5,Hopstand,10,90
Citra,12,5,Hopstand,10,90
Idaho #7,13,5,Hopstand,10,90
Mosaic,12.25,5,Hopstand,10,90
Centennial,10,7.5,Dry hop,3,90
Citra,12,7.5,Dry hop,3,90
Idaho #7,13,7.5,Dry hop,3,90
Mosaic,12.25,7.5,Dry hop,3,90
