name,type,yieldPct,colorEbc,amountKg,when
Swaen Pilsner,Grão,80,1.2,1.4,Fervura
"Sugar, Table (Sucrose)",Açúcar,100,0,0.2,Fervura
BEST Heidelberg Wheat Malt,Grão,75,0.9,0.18,Fervura
"Candi Sugar, Dark",Açúcar,78.3,371,0.01,Fervura
