name,type,yieldPct,colorEbc,amountKg,when
Munich I,Grão,82.23,8.1,5.23,Fervura
Munich II,Grão,82.23,15.6,4.56,Fervura
Caramunich II,Grão,75.74,83.9,0.41,Fervura
Melanoidin,Grão,80.07,39.1,0.21,Fervura
Extrato de Malte Torrado Líquido,Extrato,42.5,6186.9,0.08,Fervura
