name,type,yieldPct,colorEbc,amountKg,when
Pale Ale Finest Maris Otter,Grão,79,2,3.75,Fervura
Light Crystal 150,Grão,72,115.4,0.29,Fervura
Chocolate Malt,Grão,72,715.8,0.04,Fervura
