name,alphaAcidPct,amountG,use,timeMin,temperatureC
Target,11.4,19.3,Fervura,60,90
Challenger,8.4,15,Fervura,3,90
Northdown,8.2,15,Fervura,3,90
East Kent Goldings (EKG),6.5,5,Fervura,3,90
