name,type,yieldPct,colorEbc,amountKg,when
Malte Pilsen,Grão,82.8,0.9,4.53,Fervura
Caramunich III,Grão,80.07,94.6,0.85,Fervura
Carafa Special III,Grão,75.74,961.1,0.28,Fervura
