name,type,yieldPct,colorEbc,amountKg,when
Pilsner,Grão,75.45,0.9,0.7,Fervura
BEST Heidelberg Wheat Malt,Grão,75,0.9,0.2,Fervura
BEST Munich,Grão,75,8.9,0.13,Fervura
"Sugar, Table (Sucrose)",Açúcar,100,0,0.05,Fervura
