name,alphaAcidPct,amountG,use,timeMin,temperatureC
Premiant,8.7,4.7,First wort,30,90
East Kent Goldings (EKG),6.1,3.5,Fervura,20,90
East Kent Goldings (EKG),6.1,8.8,Fervura,0,90
