name,type,yieldPct,colorEbc,amountKg,when
Odd Amphibian – Lager/Pilsner Malt,Grão,77.83,0.9,0.664,Fervura
Melanoidin,Grão,80.07,39.1,0.045,Fervura
BEST Munich,Grão,75,8.9,0.029,Fervura
Caramunich III,Grão,80.07,94.6,0.015,Fervura
