name,alphaAcidPct,amountG,use,timeMin,temperatureC
German Tradition,6,7,Fervura,30,90
Hallertauer Mittelfrueh,3.4,4,Fervura,15,90
Hallertauer Mittelfrueh,3.4,6,Fervura,5,90
