name,type,yieldPct,colorEbc,amountKg,when
Swaen Pilsner,Grão,80,1.2,0.85,Fervura
BEST Heidelberg Wheat Malt,Grão,75,0.9,0.1,Fervura
BEST Munich,Grão,75,8.9,0.1,Fervura
