name,type,yieldPct,colorEbc,amountKg,when
Swaen Ale,Grão,80.13,3.3,0.632,Fervura
Vienna Malt,Grão,77.35,6,0.1,Fervura
Carared,Grão,77.9,31.1,0.087,Fervura
Caramunich III,Grão,80.07,94.6,0.08,Fervura
BlackSwan Roasted Barley,Grão,73.1,823.6,0.01,Fervura
