name,type,yieldPct,colorEbc,amountKg,when
Odd Amphibian – Lager/Pilsner Malt,Grão,77.83,0.9,0.61,Fervura
BEST Heidelberg Wheat Malt,Grão,75,0.9,0.22,Fervura
Carrot Juice,Extrato,39,5.4,0.15,Fervura
"Oats, Flaked",Grão,85,0.4,0.05,Fervura
