name,type,yieldPct,colorEbc,amountKg,when
Malte Pilsen,Grão,82.8,0.9,0.8,Fervura
Malte Vienna,Grão,83,4.1,0.2,Fervura
Molasses,Açúcar,78.3,106.8,0.15,Fervura
