name,type,yieldPct,colorEbc,amountKg,when
Carahell,Grão,75.74,16.1,0.5,Fervura
Carared,Grão,77.9,31.1,0.35,Fervura
Caramunich III,Grão,80.07,94.6,0.15,Fervura
Honey,Açúcar,75,0,0.1,Fervura
