name,type,yieldPct,colorEbc,amountKg,when
BEST Heidelberg Wheat Malt,Grão,75,0.9,0.453,Fervura
Odd Amphibian – Lager Malt,Grão,77.83,0.9,0.317,Fervura
"Oats, Flaked",Grão,80,0,0.136,Fervura
BEST Munich,Grão,75,8.9,0.091,Fervura
