name,type,yieldPct,colorEbc,amountKg,when
BEST Munich,Grão,75,8.9,0.93,Fervura
Caramunich II,Grão,75.74,83.9,0.04,Fervura
Melanoidin,Grão,80.07,39.1,0.02,Fervura
Sinamar,Extrato,42.5,4811.8,0.008,Fervura
