name,type,yieldPct,colorEbc,amountKg,when
Malte Pale Ale,Grão,82.23,6,12,Fervura
White Wheat Malt (agraria),Grão,86,4.4,1,Fervura
Chateau Biscuit,Grão,77,49.8,0.8,Fervura
Chateau Cara Ruby,Grão,77,49.8,0.8,Fervura
Chateau Special B,Grão,77,300.9,0.2,Fervura
