name,type,yieldPct,colorEbc,amountKg,when
Pale Ale,Grão,80,3,0.385,Fervura
Pilsen MD,Grão,74.78,0.6,0.239,Fervura
"Candi Syrup, D-45",Açúcar,69.57,59.3,0.236,Fervura
Cara 20 MD,Grão,67.88,12.4,0.077,Fervura
Munich,Grão,80,6,0.077,Fervura
Cara 120 MD,Grão,69.56,81,0.0075,Fervura
