name,type,yieldPct,colorEbc,amountKg,when
Pale Ale Malt,Grão,80,2.5,0.76,Fervura
Caramunich III,Grão,80.07,94.6,0.06,Fervura
BEST Chocolate,Grão,75,617.3,0.01,Fervura
