name,alphaAcidPct,amountG,use,timeMin,temperatureC
Target,8.4,5.4,Fervura,60,90
Northdown,8.2,4.5,Fervura,3,90
Challenger,8.4,4,Fervura,3,90
East Kent Goldings (EKG),6.1,1.5,Fervura,3,90
