name,alphaAcidPct,amountG,use,timeMin,temperatureC
Columbus (Tomahawk),12.3,19,Fervura,60,0
Citra,12.1,50,Hopstand,5,94
Mosaic,9.62,50,Hopstand,5,94
Columbus (Tomahawk),12.3,31,Hopstand,5,94
