name,type,yieldPct,colorEbc,amountKg,when
Malte Pale Ale,Grão,82.23,6,4.15,Fervura
Malte Vienna,Grão,75,8.1,1.56,Fervura
Chateau Cara Gold,Grão,78,120.1,0.2,Fervura
