name,type,yieldPct,colorEbc,amountKg,when
Munich II,Grão,82.23,10,2.94,Fervura
Pilsner,Grão,82.23,0.9,1.33,Fervura
Caramunich II,Grão,75.74,83.9,0.59,Fervura
Carafa I,Grão,77.9,431.9,0.05,Fervura
