name,alphaAcidPct,amountG,use,timeMin,temperatureC
East Kent Goldings (EKG),7.1,4.5,First wort,60,90
East Kent Goldings (EKG),7.1,3,Fervura,20,90
East Kent Goldings (EKG),7.1,1,Fervura,10,90
