name,type,yieldPct,colorEbc,amountKg,when
Odd Amphibian – Lager/Pilsner Malt,Grão,77.83,0.9,0.736,Fervura
BEST Heidelberg Wheat Malt,Grão,75,0.9,0.17,Fervura
Honey,Açúcar,75,0,0.113,Fervura
"Oats, Flaked",Grão,80,0,0.113,Fervura
