name,type,yieldPct,colorEbc,amountKg,when
Vienna Malt,Grão,80,6,0.705,Fervura
Melanoidin,Grão,80.07,39.1,0.071,Fervura
Caramunich III,Grão,80.07,94.6,0.047,Fervura
Chateau Biscuit,Grão,77,32.9,0.047,Fervura
