name,type,yieldPct,colorEbc,amountKg,when
Malte Pale Ale,Grão,82.23,6,3.5,Fervura
Malte Vienna,Grão,75,8.1,0.55,Fervura
Crystal,Grão,69.57,138.1,0.26,Fervura
Roasted Barley,Grão,75,1300.2,0.05,Fervura
