name,type,yieldPct,colorEbc,amountKg,when
Extra Pale Maris Otter® Malt,Grão,81.5,0.9,0.741,Fervura
"Oats, Flaked",Grão,85,0.4,0.154,Fervura
Chocolate Malt,Grão,72,715.8,0.062,Fervura
Chateau Biscuit,Grão,77,32.9,0.041,Fervura
Roasted Barley,Grão,75,892.5,0.021,Fervura
