name,type,yieldPct,colorEbc,amountKg,when
Swaen Pilsner,Grão,80,1.2,1.35,Fervura
Chateau Special B,Grão,77,205,0.05,Fervura
"Candi Sugar, Dark",Açúcar,78.3,371,0.04,Fervura
"Brown Sugar, Light",Açúcar,100,9.4,0.035,Fervura
