name,type,yieldPct,colorEbc,amountKg,when
Odd Amphibian – Lager/Pilsner Malt,Grão,77.83,0.9,1.495,Fervura
"Candi Syrup, D-90",Açúcar,90,120.5,0.176,Fervura
Chateau Special B,Grão,77,205,0.176,Fervura
BEST Heidelberg Wheat Malt,Grão,75,0.9,0.11,Fervura
Chateau Biscuit,Grão,77,32.9,0.11,Fervura
Captains Classic - Cara Malt,Grão,0,19.1,0.066,Fervura
Cane (Beet) Sugar,Açúcar,100,0,0.044,Fervura
BEST Chocolate,Grão,75,617.3,0.022,Fervura
