name,alphaAcidPct,amountG,use,timeMin,temperatureC
Premiant,7.5,3.3,Fervura,60,90
Sladek,5,4.6,Fervura,40,90
Saaz,4.3,5.8,Fervura,10,90
Sladek,5,1.2,Fervura,0,90
Premiant,7.5,0.4,Fervura,0,90
