name,type,yieldPct,colorEbc,amountKg,when
BEST Heidelberg Wheat Malt,Grão,75,0.9,0.544,Fervura
Odd Amphibian – Lager/Pilsner Malt,Grão,77.83,0.9,0.362,Fervura
Melanoidin,Grão,80.07,39.1,0.045,Fervura
