name,type,yieldPct,colorEbc,amountKg,when
Swaen Ale,Grão,80.13,3.3,0.526,Fervura
Carared,Grão,77.9,31.1,0.052,Fervura
Chateau Biscuit,Grão,77,32.9,0.052,Fervura
