name,alphaAcidPct,amountG,use,timeMin,temperatureC
Columbus (Tomahawk),15.2,3,First wort,60,90
Chinook,12.2,12,Hopstand,5,90
Citra,13.4,11,Hopstand,5,90
Columbus (Tomahawk),15.2,7,Hopstand,5,90
