name,type,yieldPct,colorEbc,amountKg,when
Swaen Ale,Grão,80.13,3.3,0.764,Fervura
Vienna Malt,Grão,80,6,0.285,Fervura
Caramunich III,Grão,80.07,94.6,0.036,Fervura
